дата,код_выпуска,тип,дней_до_погашения,предложение_млн,доходность_пct,спрос_млн,размещено_млн,коэф_удовл,bid_to_cover,лет_до_погашения
2026-05-27,26230RMFS,ОФЗ-ПД,4676.0,255418.553,14.799999999999999,67460.242,34982.454,0.5185640158243132,0.26,12.8
2026-05-27,26251RMFS,ОФЗ-ПД,1554.0,180047.482,14.11,97552.522,70001.356,0.7175760766082501,0.54,4.3
2026-05-20,26252RMFS,ОФЗ-ПД,2702.0,398879.849,14.649999999999999,145132.38,101007.906,0.6959708508879962,0.36,7.4
2026-05-20,26228RMFS,ОФЗ-ПД,1421.0,185050.15600000002,13.919999999999998,109289.074,73435.813,0.6719410304455503,0.59,3.9
2026-05-13,26249RMFS,ОФЗ-ПД,2226.0,192989.685,14.35,102045.329,63892.738,0.6261211426933613,0.53,6.1
2026-05-13,26253RMFS,ОФЗ-ПД,4529.0,351498.004,14.75,56113.049,25274.285,0.45041724608477435,0.16,12.4
2026-05-06,26240RMFS,ОФЗ-ПД,3738.0,120214.07100000001,14.7,143121.759,54680.691,0.3820571475787969,1.19,10.2
2026-05-06,26235RMFS,ОФЗ-ПД,1771.0,223137.84100000001,14.14,100905.276,47823.23,0.47394181846348654,0.45,4.9
2026-04-29,26218RMFS,ОФЗ-ПД,1967.0,186612.944,14.2,107894.912,87886.546,0.814556908855906,0.58,5.4
2026-04-29,26238RMFS,ОФЗ-ПД,5495.0,191614.887,14.2,49815.715,34173.28,0.6859939679677387,0.26,15.1
2026-04-22,26254RMFS,ОФЗ-ПД,5278.0,485629.99,14.52,198762.795,99864.122,0.5024286461658983,0.41,14.5
2026-04-22,26245RMFS,ОФЗ-ПД,3444.0,327689.224,14.549999999999999,235613.436,115754.08,0.4912881114301139,0.72,9.4
2026-04-15,26244RMFS,ОФЗ-ПД,2891.0,435208.147,14.680000000000001,140062.822,72676.659,0.5188861538146076,0.32,7.9
2026-04-15,26253RMFS,ОФЗ-ПД,4557.0,481083.722,14.87,207332.296,129585.71800000001,0.6250146286905539,0.43,12.5
2026-04-08,26254RMFS,ОФЗ-ПД,5292.0,528370.511,14.860000000000001,70770.96,32870.432,0.46446214662059127,0.13,14.5
2026-04-08,26235RMFS,ОФЗ-ПД,1799.0,281105.931,14.180000000000001,106433.634,57968.09,0.5446407100973363,0.38,4.9
2026-04-01,26249RMFS,ОФЗ-ПД,2268.0,358297.128,14.549999999999999,183075.494,165307.443,0.9029468630028659,0.51,6.2
2026-04-01,26253RMFS,ОФЗ-ПД,4571.0,532092.866,14.760000000000002,82548.164,51009.144,0.6179319021559341,0.16,12.5
2026-03-25,26230RMFS,ОФЗ-ПД,4739.0,279169.69,14.469999999999999,53574.984,23751.137,0.44332513473079155,0.19,13.0
2026-03-25,26245RMFS,ОФЗ-ПД,3472.0,427723.852,14.7,144969.88,100034.628,0.6900373236150847,0.34,9.5
2026-03-18,26238RMFS,ОФЗ-ПД,5537.0,277928.202,13.750000000000002,108954.38,86313.315,0.7921968350423361,0.39,15.2
2026-03-18,26250RMFS,ОФЗ-ПД,4102.0,241661.755,14.649999999999999,172212.1,66653.56,0.3870434191325696,0.71,11.2
